Klub,Kratica,St_tekem,Povprecje,Na_40_min,Assistances,Sezona
Brose Baskets Bamberg,BAM,5,12.40,2.42,62,2010
CSKA Moscow,CSK,5,11.80,2.36,59,2010
Khimki Moscow Region,KHI,5,11.20,2.24,56,2010
Cholet Basket,CHO,5,11.00,2.20,55,2010
Cibona Zagreb,CIB,5,10.40,2.08,52,2010
Asseco Prokom Gdynia,SOP,5,8.80,1.72,44,2010
CSKA Moscow,CSK,10,17.50,3.46,175,2011
Panathinaikos Athens,PAN,11,15.18,3.04,167,2011
FC Barcelona Regal,BAR,11,14.36,2.87,158,2011
Maccabi Electra Tel Aviv,TEL,11,13.27,2.62,146,2011
Gescrap Bilbao Basket,BIL,10,14.30,2.86,143,2011
Olympiacos Piraeus,OLY,11,11.82,2.34,130,2011
Unics Kazan,UNK,10,12.20,2.41,122,2011
Montepaschi Siena,SIE,10,12.10,2.42,121,2011
Real Madrid,MAD,8,15.00,3.00,120,2011
Bennet Cantu,CTU,8,14.50,2.86,116,2011
Galatasaray Medical Park,GAL,8,14.13,2.82,113,2011
EA7 Emporio Armani,MIL,8,13.75,2.75,110,2011
Unicaja Malaga,MAL,8,12.38,2.48,99,2011
Zalgiris Kaunas,ZAL,8,12.38,2.44,99,2011
Anadolu Efes Istanbul,IST,8,12.13,2.42,97,2011
Fenerbahce Ulker,ULK,8,11.13,2.19,89,2011
Caja Laboral,BAS,5,16.00,3.20,80,2011
KK Zagreb,ZAG,5,13.60,2.72,68,2011
Belgacom Spirou Charleroi,CHA,5,13.40,2.68,67,2011
Brose Baskets,BAM,5,12.40,2.48,62,2011
SLUC Nancy,NAN,5,12.40,2.48,62,2011
Asseco Prokom Gdynia,SOP,5,12.40,2.42,62,2011
Union Olimpija Ljubljana,LJU,5,10.00,2.00,50,2011
Partizan mt:s Belgrade,PAR,5,10.00,2.00,50,2011
Olympiacos Piraeus,OLY,15,16.40,3.28,246,2012
CSKA Moscow,CSK,14,17.00,3.34,238,2012
Laboral Kutxa Vitoria,BAS,14,16.57,3.31,232,2012
FC Barcelona Regal,BAR,15,15.33,3.04,230,2012
Real Madrid,MAD,15,15.33,3.04,230,2012
Panathinaikos Athens,PAN,15,15.07,2.98,226,2012
Maccabi Electra Tel Aviv,TEL,14,15.36,3.07,215,2012
Anadolu Efes Istanbul,IST,15,13.60,2.72,204,2012
Khimki Moscow Region,KHI,12,17.00,3.40,204,2012
Montepaschi Siena,SIE,12,15.67,3.07,188,2012
Alba Berlin,BER,12,14.50,2.90,174,2012
Brose Baskets Bamberg,BAM,12,13.50,2.67,162,2012
Unicaja Malaga,MAL,12,13.25,2.65,159,2012
Zalgiris Kaunas,ZAL,12,12.50,2.42,150,2012
Besiktas JK Istanbul,BES,12,11.50,2.30,138,2012
Fenerbahce Ulker Istanbul,ULK,12,11.08,2.22,133,2012
EA7 Emporio Armani Milan,MIL,5,16.00,3.20,80,2012
Union Olimpija Ljubljana,LJU,5,14.80,2.96,74,2012
Cedevita Zagreb,CED,5,13.00,2.60,65,2012
Asseco Prokom Gdynia,SOP,5,12.00,2.34,60,2012
Elan Chalon-Sur-Saone,CHL,5,11.80,2.36,59,2012
Lietuvos Rytas Vilnius,LIE,5,11.80,2.36,59,2012
Mapooro Cantu,CTU,5,11.60,2.32,58,2012
Partizan mt:s Belgrade,PAR,5,10.00,1.95,50,2012
CSKA Moscow,CSK,15,18.60,3.66,279,2013
Maccabi Electra Tel Aviv,TEL,16,15.94,3.14,255,2013
Olympiacos Piraeus,OLY,15,16.87,3.37,253,2013
Real Madrid,MAD,15,16.20,3.24,243,2013
FC Barcelona,BAR,13,17.38,3.44,226,2013
Panathinaikos Athens,PAN,15,14.13,2.74,212,2013
Laboral Kutxa Vitoria,BAS,12,17.25,3.45,207,2013
Lokomotiv Kuban Krasnodar,TIV,12,16.50,3.30,198,2013
Zalgiris Kaunas,ZAL,12,16.25,3.25,195,2013
Galatasaray Liv Hospital Istanbul,GAL,14,13.79,2.73,193,2013
Fenerbahce Ulker Istanbul,ULK,12,15.08,3.02,181,2013
FC Bayern Munich,MUN,12,14.83,2.97,178,2013
EA7 Emporio Armani Milan,MIL,14,12.50,2.50,175,2013
Anadolu Efes Istanbul,IST,12,13.92,2.78,167,2013
Unicaja Malaga,MAL,12,12.67,2.53,152,2013
Partizan NIS Belgrade,PAR,12,11.33,2.27,136,2013
Strasbourg,STR,5,17.00,3.40,85,2013
Stelmet Zielona Gora,GSS,5,16.60,3.32,83,2013
Lietuvos Rytas Vilnius,LIE,5,16.00,3.20,80,2013
Brose Baskets Bamberg,BAM,5,14.80,2.96,74,2013
Crvena Zvezda Telekom Belgrade,RED,5,14.60,2.92,73,2013
Montepaschi Siena,SIE,5,12.80,2.56,64,2013
JSF Nanterre,NTR,5,12.60,2.52,63,2013
Budivelnik Kiev,NIK,5,11.20,2.24,56,2013
CSKA Moscow,CSK,15,18.60,3.66,279,2014
Real Madrid,MAD,14,19.50,3.90,273,2014
FC Barcelona,BAR,14,19.14,3.85,268,2014
Olympiacos Piraeus,OLY,16,16.19,3.21,259,2014
Anadolu Efes Istanbul,IST,14,18.43,3.69,258,2014
Maccabi Electra Tel Aviv,TEL,14,17.57,3.48,246,2014
Fenerbahce Ulker Istanbul,ULK,14,15.93,3.13,223,2014
Panathinaikos Athens,PAN,14,15.29,3.06,214,2014
Crvena Zvezda Telekom Belgrade,RED,12,17.00,3.32,204,2014
ALBA Berlin,BER,12,16.75,3.32,201,2014
Unicaja Malaga,MAL,12,16.75,3.35,201,2014
Nizhny Novgorod,NOV,12,16.50,3.27,198,2014
Galatasaray Liv Hospital Istanbul,GAL,12,15.42,3.08,185,2014
EA7 Emporio Armani Milan,MIL,12,15.17,3.03,182,2014
Laboral Kutxa Vitoria,BAS,12,15.00,3.00,180,2014
Zalgiris Kaunas,ZAL,12,13.50,2.70,162,2014
Unics Kazan,UNK,5,16.80,3.36,84,2014
PGE Turow Zgorzelec,ZGO,5,16.80,3.36,84,2014
Dinamo Banco di Sardegna Sassari,SAS,5,16.60,3.32,83,2014
Cedevita Zagreb,CED,5,16.40,3.28,82,2014
Limoges CSP,LMG,5,15.80,3.16,79,2014
Neptunas Klaipeda,KLA,5,14.60,2.92,73,2014
FC Bayern Munich,MUN,5,14.60,2.92,73,2014
Valencia Basket,PAM,5,14.60,2.92,73,2014
CSKA Moscow,CSK,14,21.14,4.15,296,2015
FC Barcelona Lassa,BAR,15,18.00,3.60,270,2015
Lokomotiv Kuban Krasnodar,TIV,16,16.00,3.18,256,2015
Panathinaikos Athens,PAN,14,17.64,3.50,247,2015
Real Madrid,MAD,14,16.50,3.30,231,2015
Crvena Zvezda Telekom Belgrade,RED,14,16.29,3.26,228,2015
Anadolu Efes Istanbul,IST,12,18.50,3.66,222,2015
Khimki Moscow Region,KHI,12,18.08,3.62,217,2015
Laboral Kutxa Vitoria Gasteiz,BAS,14,14.93,2.93,209,2015
Darussafaka Dogus Istanbul,DAR,12,17.25,3.45,207,2015
Fenerbahce Istanbul,ULK,13,15.38,3.08,200,2015
Olympiacos Piraeus,OLY,12,15.50,3.04,186,2015
Zalgiris Kaunas,ZAL,12,15.42,3.08,185,2015
Unicaja Malaga,MAL,12,15.33,3.07,184,2015
Brose Baskets Bamberg,BAM,12,14.92,2.98,179,2015
Cedevita Zagreb,CED,12,14.42,2.88,173,2015
FC Bayern Munich,MUN,5,18.60,3.72,93,2015
Limoges CSP,LMG,5,17.60,3.52,88,2015
Maccabi FOX Tel Aviv,TEL,5,16.20,3.24,81,2015
Strasbourg,STR,5,16.00,3.20,80,2015
Stelmet Zielona Gora,GSS,5,15.60,3.12,78,2015
EA7 Emporio Armani Milan,MIL,5,15.60,3.12,78,2015
Pinar Karsiyaka Izmir,KSK,5,15.20,3.04,76,2015
Dinamo Banco di Sardegna Sassari,SAS,5,12.80,2.50,64,2015
Real Madrid,MAD,18,19.56,3.91,352,2016
CSKA Moscow,CSK,17,19.71,3.91,335,2016
Baskonia Vitoria Gasteiz,BAS,17,17.88,3.58,304,2016
Anadolu Efes Istanbul,IST,18,16.83,3.32,303,2016
Olympiacos Piraeus,OLY,19,15.68,3.12,298,2016
Zalgiris Kaunas,ZAL,15,18.60,3.72,279,2016
Fenerbahce Istanbul,ULK,17,16.35,3.25,278,2016
Galatasaray Odeabank Istanbul,GAL,15,17.67,3.53,265,2016
EA7 Emporio Armani Milan,MIL,15,17.47,3.46,262,2016
Brose Bamberg,BAM,15,17.40,3.48,261,2016
Panathinaikos Superfoods Athens,PAN,16,16.06,3.16,257,2016
Maccabi FOX Tel Aviv,TEL,15,16.80,3.33,252,2016
FC Barcelona Lassa,BAR,15,16.13,3.20,242,2016
Crvena Zvezda mts Belgrade,RED,15,15.27,3.05,229,2016
Darussafaka Dogus Istanbul,DAR,17,13.00,2.58,221,2016
Unics Kazan,UNK,15,14.33,2.87,215,2016
Fenerbahce Dogus Istanbul,ULK,18,19.17,3.78,345,2017
Zalgiris Kaunas,ZAL,19,18.16,3.54,345,2017
Real Madrid,MAD,18,18.78,3.73,338,2017
FC Barcelona Lassa,BAR,15,21.33,4.27,320,2017
KIROLBET Baskonia Vitoria Gasteiz,BAS,17,18.59,3.72,316,2017
Khimki Moscow Region,KHI,17,18.12,3.62,308,2017
Unicaja Malaga,MAL,15,18.27,3.62,274,2017
CSKA Moscow,CSK,17,15.76,3.15,268,2017
Olympiacos Piraeus,OLY,17,15.71,3.07,267,2017
Maccabi FOX Tel Aviv,TEL,15,17.73,3.55,266,2017
Valencia Basket,PAM,15,17.33,3.47,260,2017
AX Armani Exchange Olimpia Milan,MIL,15,15.80,3.11,237,2017
Brose Bamberg,BAM,15,15.73,3.15,236,2017
Panathinaikos Superfoods Athens,PAN,17,13.88,2.76,236,2017
Crvena Zvezda mts Belgrade,RED,15,14.53,2.91,218,2017
Anadolu Efes Istanbul,IST,15,14.13,2.83,212,2017
