klub,sezona,ime,pozicija,narodnost,rojstvo,visina
ASV,2003,"DIOUMASSI, MAKAN",Forward,France,1972,1.96
ASV,2003,"MRAZEK, HAROLD",Guard,Switzerland,1973,1.91
ASV,2003,"ROGERS, SHAWNTA",Guard,United States of America,1976,1.63
ASV,2003,"FRIGOUT, DAVID",Forward,France,1973,2.06
ASV,2003,"TAYLOR, MARCUS",Guard,United States of America,1981,1.95
ASV,2003,"GULYAS, ROBERT",Center,Hungary,1974,2.13
ASV,2003,"TOURE, HERVE",Forward,France,1982,2.04
ASV,2003,"ALIJEVAS, ROLANDAS",Guard,Lithuania,1985,1.92
ASV,2003,"HOOD, DEREK",Center,United States of America,1976,2.03
ASV,2003,"GIFFA, SANYA",Forward,France,1977,
ASV,2003,"SOUCHU, KARIM",Forward,France,1979,2.0
ASV,2003,"TRAORE, ALI",Center,France,1985,2.08
ASV,2004,"DIOUMASSI, MAKAN",Guard,France,1972,1.96
ASV,2004,"MRAZEK, HAROLD",Guard,Switzerland,1973,1.91
ASV,2004,"PELLE, STEPHANE",Forward,Cameroon,1980,2.05
ASV,2004,"BESOK, HUSEYIN",Center,Turkey,1975,2.12
ASV,2004,"RUZIC, TOMISLAV",Forward,Croatia,1979,2.08
ASV,2004,"MILLER, DANIEL",Forward,Italy,1980,2.03
ASV,2004,"GOUEZ, OLIVIER",Center,France,1984,2.18
ASV,2004,"SANGARE, YOHANN",Guard,France,1983,
ASV,2004,"LYDAY, TERRELL",Guard,United States of America,1979,1.91
ASV,2004,"TOURE, HERVE",Forward,France,1982,2.04
ASV,2004,"KING, BERNARD",Guard,United States of America,1981,1.96
ASV,2004,"SOUCHU, KARIM",Forward,France,1979,2.0
ASV,2009,"LUKAUSKIS, MINDAUGAS",Guard,Lithuania,1979,1.98
ASV,2009,"LACOMBE, PAUL",Guard,France,1990,1.98
ASV,2009,"FOIREST, LAURENT",Forward,France,1973,1.97
ASV,2009,"BORCHARDT, CURTIS",Center,United States of America,1980,2.12
ASV,2009,"JEANNEAU, AYMERIC",Guard,France,1978,1.85
ASV,2009,"DEWAR, BEN",Guard,United States of America,1981,1.96
ASV,2009,"PARKER, TJ",Guard,France,1984,
ASV,2009,"TRAORE, ALI",Center,France,1985,2.08
ASV,2009,"CAMPBELL, ERIC",Forward,United States of America,1977,1.94
ASV,2009,"KANGUR, KRISTJAN",Forward,Estonia,1982,2.01
ASV,2009,"DA SILVEIRA, OCTAVIO",Forward,France,1989,2.04
ASV,2009,"FOFANA, BANGALY",Center,France,1989,2.12
ASV,2009,"MARSHALL, RAWLE",Forward,United States of America,1982,2.01
ASV,2009,"SANCHEZ, JEROME",Forward,France,1990,1.96
ASV,2009,"MUHAMMED, ALI",Guard,United States of America,1983,1.78
ASV,2009,"SAMNICK, VICTOR",Forward,France,1979,2.03
AVE,2008,"WARREN, CHRIS",Forward,United States of America,1981,1.96
AVE,2008,"RADULOVIC, NIKOLA",Forward,Italy,1973,2.07
AVE,2008,"PORTA, ANTONIO",Guard,Argentina,1983,1.88
AVE,2008,"BEST, TRAVIS",Guard,United States of America,1972,1.8
AVE,2008,"CINCIARINI, DANIELE",Guard,Italy,1983,1.94
AVE,2008,"CROSARIOL, ANDREA",Center,Italy,1984,2.1
AVE,2008,"LISICKY, PETER",Guard,Slovakia,1976,1.92
AVE,2008,"SLAY, TAMAR",Forward,United States of America,1980,2.03
AVE,2008,"TUSEK, MARKO",Forward,Slovenia,1975,2.04
AVE,2008,"WILLIAMS, ERIC",Center,United States of America,1984,2.06
AVE,2008,"DIENER, DRAKE",Guard,United States of America,1981,1.96
BAM,2005,"ENSMINGER, CHRIS",Center,United States of America,1973,2.09
BAM,2005,"MALLET, DEMOND",Guard,United States of America,1978,1.86
BAM,2005,"HAMANN, STEFFEN",Guard,Germany,1981,1.93
BAM,2005,"STAFFORD, RICHARD",Guard,Germany,1972,1.94
BAM,2005,"HELMANIS, UVIS",Center,Latvia,1972,
BAM,2005,"PAVIC, IVAN",Forward,Germany,1981,2.0
BAM,2005,"GARRETT, ROBERT",Guard,Germany,1977,1.94
BAM,2005,"PHELPS, DERRICK",Guard,United States of America,1972,1.92
BAM,2005,"ARCHIBONG, KOKO",Forward,Nigeria,1981,2.05
BAM,2005,"SIMPKINS, DICKEY",Center,United States of America,1972,2.06
BAM,2005,"NAHAR, MIKEL",Center,Netherlands,1971,2.11
BAM,2005,"BEGLEY, TIM",Guard,United States of America,1983,1.98
BAM,2005,"NELSON, SPENCER",Forward,United States of America,1980,2.03
BAM,2007,"ENSMINGER, CHRIS",Center,United States of America,1973,2.09
BAM,2007,"HAUER, SAJMEN",Guard,Germany,1988,1.93
BAM,2007,"HAMANN, STEFFEN",Guard,Germany,1981,1.93
BAM,2007,"GREENE, DEMOND",Guard,Germany,1979,
BAM,2007,"SUPUT, PREDRAG",Forward,Serbia,1977,2.0
BAM,2007,"TADDA, KARSTEN",Guard,Germany,1988,1.91
BAM,2007,"FENN, DARREN",Center,United States of America,1980,2.08
BAM,2007,"PAVIC, IVAN",Forward,Germany,1981,2.0
BAM,2007,"GARRETT, ROBERT",Guard,Germany,1977,1.94
BAM,2007,"OKULAJA, ADEMOLA",Forward,Germany,1975,2.06
BAM,2007,"OHLBRECHT, TIM",Center,Germany,1988,2.1
BAM,2007,"MCDUFFIE, DIMITRY",Forward,Germany,1989,1.98
BAM,2007,"DEMIREL, MITHAT",Guard,Germany,1978,1.82
BAM,2007,"DICKEL, MARK",Guard,New Zealand,1976,1.87
BAM,2010,"GOLDSBERRY, JOHN",Guard,United States of America,1982,1.91
BAM,2010,"TERRY, REYSHAWN",Forward,United States of America,1984,2.03
BAM,2010,"SUPUT, PREDRAG",Guard,Serbia,1977,2.0
BAM,2010,"TADDA, KARSTEN",Guard,Germany,1988,1.91
BAM,2010,"SCHMIDT, DANIEL",Guard,Germany,1990,1.86
BAM,2010,"CROWELL, MICHAEL",Forward,United States of America,1985,2.02
BAM,2010,"STUCKEY, MAURICE",Guard,Germany,1990,1.87
BAM,2010,"NEUMANN, PHILIPP",Center,Germany,1992,2.09
BAM,2010,"LAND, ERIK",Center,Germany,1990,2.05
BAM,2010,"PLEISS, TIBOR",Center,Germany,1989,2.21
BAM,2010,"ROBERTS, BRIAN",Guard,United States of America,1985,1.85
BAM,2010,"JACOBSEN, CASEY",Guard,United States of America,1981,1.98
BAM,2010,"GAVEL, ANTON",Guard,Germany,1984,1.89
BAM,2010,"HINES, KYLE",Forward,United States of America,1986,1.98
BAM,2011,"SUPUT, PREDRAG",Forward,Serbia,1977,2.0
BAM,2011,"TADDA, KARSTEN",Guard,Germany,1988,1.91
BAM,2011,"JENKINS, JULIUS",Guard,United States of America,1981,1.87
BAM,2011,"SCHMIDT, DANIEL",Guard,Germany,1990,1.86
BAM,2011,"STUCKEY, MAURICE",Guard,Germany,1990,1.87
BAM,2011,"NEUMANN, PHILIPP",Center,Germany,1992,2.09
BAM,2011,"PLEISS, TIBOR",Center,Germany,1989,2.21
BAM,2011,"ROBERTS, BRIAN",Guard,United States of America,1985,1.85
BAM,2011,"JACOBSEN, CASEY",Guard,United States of America,1981,1.98
BAM,2011,"TUCKER, ANTHONY",Forward,United States of America,1985,1.98
BAM,2011,"GAVEL, ANTON",Guard,Germany,1984,1.89
BAM,2011,"MONSE, STEVEN",Forward,Germany,1990,1.98
BAM,2011,"SLAUGHTER, MARCUS",Forward,United States of America,1985,2.04
BAM,2012,"GIPSON, SERGERIO",Guard,United States of America,1980,1.91
BAM,2012,"GOLDSBERRY, JOHN",Guard,United States of America,1982,1.91
BAM,2012,"NACHBAR, BOSTJAN",Forward,Slovenia,1980,2.06
BAM,2012,"TADDA, KARSTEN",Guard,Germany,1988,1.91
BAM,2012,"RICHTER, JOHANNES",Forward,Germany,1993,2.06
BAM,2012,"SCHMIDT, DANIEL",Guard,Germany,1990,1.86
BAM,2012,"NEUMANN, PHILIPP",Center,Germany,1992,2.09
BAM,2012,"FORD, SHARROD",Forward,United States of America,1982,2.06
BAM,2012,"WILLIAMS, LATAVIOUS",Forward,United States of America,1989,2.03
BAM,2012,"JACOBSEN, CASEY",Guard,United States of America,1981,1.98
BAM,2012,"MASSEY, JEREMIAH",Forward,United States of America,1982,2.02
BAM,2012,"GAVEL, ANTON",Guard,Germany,1984,1.89
BAM,2012,"ZIRBES, MAIK",Center,Germany,1990,2.07
BAM,2012,"OGILVY, ANDREW JAMES",Forward,Australia,1988,2.11
BAM,2012,"WALSH, MATT",Guard,United States of America,1982,1.99
BAM,2013,"GOLDSBERRY, JOHN",Guard,United States of America,1982,1.91
BAM,2013,"SANDERS, RAKIM",Guard,United States of America,1989,1.96
BAM,2013,"WRIGHT, ZACH",Guard,United States of America,1985,1.88
BAM,2013,"TADDA, KARSTEN",Guard,Germany,1988,1.91
BAM,2013,"SCHMIDT, DANIEL",Guard,Germany,1990,1.86
BAM,2013,"NEUMANN, PHILIPP",Center,Germany,1992,2.09
BAM,2013,"FORD, SHARROD",Forward,United States of America,1982,2.06
BAM,2013,"VELICKOVIC, NOVICA",Forward,Serbia,1986,2.05
BAM,2013,"MARKOTA, DAMIR",Forward,Croatia,1985,2.08
BAM,2013,"JACOBSEN, CASEY",Guard,United States of America,1981,1.98
BAM,2013,"GAVEL, ANTON",Guard,Germany,1984,1.89
BAM,2013,"SMITH, JAMAR",Guard,United States of America,1987,1.91
BAM,2013,"ZIRBES, MAIK",Center,Germany,1990,2.07
BAM,2013,"FISCHER, DOR",Center,United States of America,1981,2.11
BAM,2015,"MELLI, NICOLO",Forward,Italy,1991,2.05
BAM,2015,"ZISIS, NIKOS",Guard,Greece,1983,1.97
BAM,2015,"NIKOLIC, ALEKSEJ",Guard,Slovenia,1995,1.91
BAM,2015,"STAIGER, LUCCA",Guard,Germany,1988,1.96
BAM,2015,"THEIS, DANIEL",Center,Germany,1992,2.04
BAM,2015,"WANAMAKER, BRAD",Guard,United States of America,1989,1.93
BAM,2015,"STRELNIEKS, JANIS",Guard,Latvia,1989,1.91
BAM,2015,"OBST, ANDREAS",Guard,Germany,1996,1.9
BAM,2015,"HARRIS, ELIAS",Forward,Germany,1989,2.03
BAM,2015,"MILLER, DARIUS",Forward,United States of America,1990,2.03
BAM,2015,"THIEMANN, JOHANNES",Forward,Germany,1994,2.05
BAM,2015,"HECKMANN, PATRICK",Forward,Germany,1992,1.98
BAM,2015,"IDBIHI, YASSIN",Center,Germany,1983,2.08
BAM,2015,"RADOSEVIC, LEON",Forward,Germany,1990,2.08
BAM,2015,"SCHMIDT, DANIEL",Guard,Germany,1990,1.86
BAM,2016,"CAUSEUR, FABIEN",Guard,France,1987,1.95
BAM,2016,"MELLI, NICOLO",Forward,Italy,1991,2.05
BAM,2016,"ZISIS, NIKOS",Guard,Greece,1983,1.97
BAM,2016,"NIKOLIC, ALEKSEJ",Guard,Slovenia,1995,1.91
BAM,2016,"STAIGER, LUCCA",Guard,Germany,1988,1.96
BAM,2016,"THEIS, DANIEL",Center,Germany,1992,2.04
BAM,2016,"LO, MAODO",Guard,Germany,1992,1.91
BAM,2016,"STRELNIEKS, JANIS",Guard,Latvia,1989,1.91
BAM,2016,"VEREMEENKO, VLADIMIR",Center,Russian Federation,1984,2.11
BAM,2016,"OLINDE, LOUIS",Forward,Germany,1998,2.05
BAM,2016,"HARRIS, ELIAS",Forward,Germany,1989,2.03
BAM,2016,"MILLER, DARIUS",Forward,United States of America,1990,2.03
BAM,2016,"McNEAL, JEREL",Guard,United States of America,1987,1.91
BAM,2016,"KRATZER, LEON",Center,Germany,1997,2.12
BAM,2016,"HECKMANN, PATRICK",Forward,Germany,1992,1.98
BAM,2016,"RADOSEVIC, LEON",Forward,Germany,1990,2.08
BAM,2017,"HACKETT, DANIEL",Guard,Italy,1987,1.93
BAM,2017,"HICKMAN, RICKY",Guard,United States of America,1985,1.89
BAM,2017,"WRIGHT, DORELL",Forward,United States of America,1985,1.98
BAM,2017,"ZISIS, NIKOS",Guard,Greece,1983,1.97
BAM,2017,"NIKOLIC, ALEKSEJ",Guard,Slovenia,1995,1.91
BAM,2017,"STAIGER, LUCCA",Guard,Germany,1988,1.96
BAM,2017,"MITROVIC, LUKA",Forward,Serbia,1993,2.05
BAM,2017,"LO, MAODO",Guard,Germany,1992,1.91
BAM,2017,"OLINDE, LOUIS",Forward,Germany,1998,2.05
BAM,2017,"EDIGIN, EDDY",Center,Germany,1995,2.01
BAM,2017,"HARRIS, ELIAS",Forward,Germany,1989,2.03
BAM,2017,"RUBIT, AUGUSTINE",Forward,United States of America,1989,2.01
BAM,2017,"MCDOWELL-WHITE, WILLIAM",Guard,Australia,1998,1.95
BAM,2017,"HECKMANN, PATRICK",Forward,Germany,1992,1.98
BAM,2017,"MUSLI, DEJAN",Center,Serbia,1991,2.13
BAM,2017,"RADOSEVIC, LEON",Center,Germany,1990,2.08
BAM,2017,"TAYLOR, BRYCE",Guard,United States of America,1986,1.95
BAR,2000,"RODRIGUEZ, NACHO",Guard,Spain,1970,1.88
BAR,2000,"SEIKALY, RONY",Center,United States of America,1965,2.11
BAR,2000,"DE LA FUENTE, RODRIGO",Forward,Spain,1976,2.0
BAR,2000,"SAVIC, ZORAN",Center,Serbia,1966,2.08
BAR,2000,"ELSON, FRANCISCO",Center,Netherlands,1976,2.11
BAR,2000,"DIGBEU, ALAIN",Guard,France,1975,1.96
BAR,2000,"NAVARRO, JUAN CARLOS",Guard,Spain,1980,1.92
BAR,2000,"DUENAS, ROBERTO",Center,Spain,1975,2.18
BAR,2000,"JASIKEVICIUS, SARUNAS",Guard,Lithuania,1976,
BAR,2000,"RENTZIAS, EFTHYMIOS",Center,Greece,1976,2.12
BAR,2000,"GASOL, PAU",Forward,Spain,1980,2.13
BAR,2000,"BRAVO, CESAR",Guard,Spain,1981,2.0
BAR,2000,"KARNISOVAS, ARTURAS",Forward,Lithuania,1971,2.04
BAR,2001,"RODRIGUEZ, NACHO",Guard,Spain,1970,1.88
BAR,2001,"ALZAMORA, ALFONS",Center,Spain,1979,2.06
BAR,2001,"DE LA FUENTE, RODRIGO",Forward,Spain,1976,2.0
BAR,2001,"EKONOMOU, NIKOLAOS",Forward,Greece,1973,2.08
BAR,2001,"OKULAJA, ADEMOLA",Forward,Germany,1975,2.06
BAR,2001,"DIGBEU, ALAIN",Guard,France,1975,1.96
BAR,2001,"NAVARRO, JUAN CARLOS",Guard,Spain,1980,1.92
BAR,2001,"DUENAS, ROBERTO",Center,Spain,1975,2.18
BAR,2001,"JASIKEVICIUS, SARUNAS",Guard,Lithuania,1976,
BAR,2001,"RENTZIAS, EFTHYMIOS",Center,Greece,1976,2.12
BAR,2001,"VAREJAO, ANDERSON",Forward,Brazil,1982,2.09
BAR,2001,"VAN DE HARE, REMON",Center,Netherlands,1982,2.22
BAR,2001,"OVERTON, DOUGLAS",Guard,United States of America,1969,1.9
BAR,2001,"KARNISOVAS, ARTURAS",Forward,Lithuania,1971,2.04
BAR,2002,"RODRIGUEZ, NACHO",Guard,Spain,1970,1.88
BAR,2002,"ALZAMORA, ALFONS",Center,Spain,1979,2.06
BAR,2002,"FUCKA, GREGOR",Forward,Italy,1971,2.15
BAR,2002,"FEMERLING, PATRICK",Center,Germany,1975,2.13
BAR,2002,"BRAVO, CESAR",Forward,Spain,1981,2.0
BAR,2002,"BODIROGA, DEJAN",Forward,Serbia,1973,2.05
BAR,2002,"NAVARRO, JUAN CARLOS",Guard,Spain,1980,1.92
BAR,2002,"DUENAS, ROBERTO",Center,Spain,1975,2.18
BAR,2002,"JASIKEVICIUS, SARUNAS",Guard,Lithuania,1976,
BAR,2002,"DE LA FUENTE, RODRIGO",Forward,Spain,1976,2.0
BAR,2002,"VAREJAO, ANDERSON",Center,Brazil,1982,2.09
BAR,2003,"RODRIGUEZ, NACHO",Guard,Spain,1970,1.88
BAR,2003,"ILIEVSKI, VLADO",Guard,The former Yugoslav Republic of Macedonia,1980,1.88
BAR,2003,"FUCKA, GREGOR",Forward,Italy,1971,2.15
BAR,2003,"FEMERLING, PATRICK",Center,Germany,1975,2.13
BAR,2003,"DREJER, CHRISTIAN",Forward,Denmark,1982,2.06
BAR,2003,"BODIROGA, DEJAN",Forward,Serbia,1973,2.05
BAR,2003,"NAVARRO, JUAN CARLOS",Guard,Spain,1980,1.92
BAR,2003,"DUENAS, ROBERTO",Center,Spain,1975,2.18
BAR,2003,"DE LA FUENTE, RODRIGO",Forward,Spain,1976,2.0
BAR,2003,"VAREJAO, ANDERSON",Forward,Brazil,1982,2.09
BAR,2003,"SADA, VICTOR",Guard,Spain,1984,1.92
BAR,2003,"GASOL, MARC",Center,Spain,1985,2.15
BAR,2003,"GRIMAU, ROGER",Guard,Spain,1978,1.96
BAR,2004,"ILIEVSKI, VLADO",Guard,The former Yugoslav Republic of Macedonia,1980,1.88
BAR,2004,"FUCKA, GREGOR",Forward,Italy,1971,2.15
BAR,2004,"TRIAS, JORDI",Forward,Spain,1980,2.06
